"Date";"Time";"temperature 1 (analog)";"temperature 2 (digital)";"absolute pressure";"relative humidity";"absolute humidity";"mixing ratio";"dewpoint";"frostpoint";"airflow";"fan power"
"[YYYY-MM-DD]";"[hh:mm:ss]";"°C";"°C";"hPa";"%";"g/m³";"g/kg";"°C";"°C";"%";"%"
"2020-10-08";"00:00:00";11.756;11.721;989.609;77.458;8.115;6.780;7.941;0.000;90.008;79.365
"2020-10-08";"00:05:00";11.773;11.747;989.688;77.458;8.124;6.787;7.957;0.000;83.227;79.365
"2020-10-08";"00:10:00";11.815;11.781;989.722;77.458;8.145;6.806;7.998;0.000;96.718;82.540
"2020-10-08";"00:15:00";11.761;11.705;989.783;77.458;8.118;6.781;7.946;0.000;93.642;79.365
"2020-10-08";"00:20:00";11.810;11.794;989.862;76.934;8.087;6.756;7.892;0.000;79.461;77.778
"2020-10-08";"00:25:00";11.840;11.793;989.776;77.458;8.158;6.817;8.022;0.000;98.427;84.127
"2020-10-08";"00:30:00";11.783;11.730;989.762;76.934;8.074;6.745;7.867;0.000;93.455;82.540
"2020-10-08";"00:35:00";11.830;11.757;989.818;76.934;8.098;6.765;7.912;0.000;107.652;84.127
"2020-10-08";"00:40:00";11.763;11.686;989.922;76.934;8.064;6.734;7.847;0.000;105.680;80.952
"2020-10-08";"00:45:00";11.816;11.814;989.935;76.409;8.035;6.712;7.798;0.000;92.384;84.127
"2020-10-08";"00:50:00";11.750;11.721;989.917;76.934;8.057;6.728;7.834;0.000;95.973;82.540
"2020-10-08";"00:55:00";11.735;11.680;990.036;76.934;8.050;6.721;7.820;0.000;88.823;80.952
"2020-10-08";"01:00:00";11.722;11.682;990.106;76.934;8.043;6.715;7.808;0.000;97.974;82.540
"2020-10-08";"01:05:00";11.561;11.526;990.154;77.458;8.017;6.688;7.751;0.000;93.419;74.603
"2020-10-08";"01:10:00";11.589;11.583;990.112;77.458;8.031;6.701;7.778;0.000;96.332;80.952
"2020-10-08";"01:15:00";11.619;11.603;990.041;76.934;7.992;6.669;7.708;0.000;94.160;79.365
"2020-10-08";"01:20:00";11.714;11.661;989.979;76.409;7.984;6.666;7.699;0.000;98.491;84.127
"2020-10-08";"01:25:00";11.599;11.522;990.066;76.409;7.927;6.614;7.588;0.000;94.722;79.365
"2020-10-08";"01:30:00";11.764;11.760;990.120;75.360;7.899;6.594;7.544;0.000;84.982;79.365
"2020-10-08";"01:35:00";11.564;11.503;990.221;76.409;7.906;6.595;7.547;0.000;88.190;77.778
"2020-10-08";"01:40:00";11.618;11.574;990.160;76.409;7.936;6.622;7.606;0.000;95.173;82.540
"2020-10-08";"01:45:00";11.407;11.350;990.230;77.458;7.940;6.620;7.601;0.000;97.775;76.190
"2020-10-08";"01:50:00";11.497;11.429;990.166;76.934;7.931;6.614;7.589;0.000;88.064;82.540
"2020-10-08";"01:55:00";11.488;11.477;990.122;76.409;7.876;6.568;7.487;0.000;81.480;85.714
"2020-10-08";"02:00:00";11.423;11.395;990.187;76.934;7.894;6.582;7.517;0.000;84.060;82.540
"2020-10-08";"02:05:00";11.322;11.284;990.141;77.458;7.898;6.583;7.520;0.000;84.043;85.714
"2020-10-08";"02:10:00";11.283;11.252;990.279;77.983;7.932;6.610;7.580;0.000;91.407;80.952
"2020-10-08";"02:15:00";11.233;11.209;990.318;78.507;7.965;6.636;7.639;0.000;95.442;84.127
"2020-10-08";"02:20:00";11.200;11.174;990.332;78.507;7.944;6.617;7.598;0.000;102.472;84.127
"2020-10-08";"02:25:00";11.178;11.104;990.474;79.032;7.986;6.651;7.674;0.000;103.774;80.952
"2020-10-08";"02:30:00";11.172;11.138;990.473;79.032;7.983;6.648;7.668;0.000;99.784;87.302
"2020-10-08";"02:35:00";11.140;11.116;990.584;79.032;7.967;6.633;7.637;0.000;93.627;84.127
"2020-10-08";"02:40:00";11.228;11.256;990.671;77.983;7.905;6.583;7.527;0.000;78.738;82.540
"2020-10-08";"02:45:00";11.205;11.150;990.721;78.507;7.946;6.617;7.603;0.000;99.400;84.127
"2020-10-08";"02:50:00";11.160;11.096;990.805;79.032;7.977;6.641;7.657;0.000;100.265;82.540
"2020-10-08";"02:55:00";11.205;11.193;990.851;78.507;7.946;6.616;7.603;0.000;93.422;82.540
"2020-10-08";"03:00:00";10.972;10.917;991.018;79.557;7.936;6.600;7.571;0.000;100.002;71.429
"2020-10-08";"03:05:00";11.122;11.096;990.984;79.032;7.958;6.623;7.620;0.000;81.923;79.365
"2020-10-08";"03:10:00";11.055;11.055;991.018;79.032;7.921;6.590;7.548;0.000;79.552;79.365
"2020-10-08";"03:15:00";11.093;11.062;990.996;79.032;7.943;6.610;7.592;0.000;97.366;84.127
"2020-10-08";"03:20:00";10.997;10.939;991.107;79.557;7.949;6.612;7.598;0.000;93.350;79.365
"2020-10-08";"03:25:00";11.127;11.103;991.131;78.507;7.908;6.580;7.527;0.000;103.302;84.127
"2020-10-08";"03:30:00";11.081;11.026;991.192;78.507;7.885;6.559;7.483;0.000;97.420;80.952
"2020-10-08";"03:35:00";11.085;11.045;991.247;78.507;7.887;6.560;7.486;0.000;94.959;82.540
"2020-10-08";"03:40:00";11.030;11.019;991.347;79.032;7.912;6.579;7.530;0.000;89.772;82.540
"2020-10-08";"03:45:00";11.091;11.081;991.402;77.983;7.837;6.518;7.394;0.000;88.027;82.540
"2020-10-08";"03:50:00";11.103;11.054;991.494;78.507;7.896;6.567;7.504;0.000;87.124;82.540
"2020-10-08";"03:55:00";11.016;10.951;991.674;79.032;7.905;6.572;7.517;0.000;94.175;77.778
"2020-10-08";"04:00:00";10.950;10.911;991.743;79.557;7.925;6.586;7.549;0.000;94.728;79.365
"2020-10-08";"04:05:00";10.861;10.830;991.838;79.557;7.881;6.546;7.463;0.000;96.530;76.190
"2020-10-08";"04:10:00";10.866;10.836;991.875;79.557;7.883;6.548;7.468;0.000;93.025;76.190
"2020-10-08";"04:15:00";10.992;10.929;991.953;79.032;7.893;6.559;7.494;0.000;105.898;79.365
"2020-10-08";"04:20:00";10.970;10.981;992.012;78.507;7.830;6.505;7.375;0.000;81.868;77.778
"2020-10-08";"04:25:00";10.926;10.891;992.052;79.032;7.861;6.529;7.429;0.000;99.396;77.778
