"Date";"Time";"temperature";"relative humidity"
"[YYYY-MM-DD]";"[hh:mm:ss]";"degC";"%"
"2020-10-08";"00:00:00";22.69;42.43
"2020-10-08";"00:05:00";22.52;42.84
"2020-10-08";"00:10:00";22.41;43.11
"2020-10-08";"00:15:00";22.26;43.44
"2020-10-08";"00:20:00";22.55;42.98
"2020-10-08";"00:25:00";22.87;42.30
"2020-10-08";"00:30:00";23.16;41.65
"2020-10-08";"00:35:00";23.33;41.20
"2020-10-08";"00:40:00";23.04;41.60
"2020-10-08";"00:45:00";22.81;42.13
"2020-10-08";"00:50:00";22.63;42.58
"2020-10-08";"00:55:00";22.49;42.90
"2020-10-08";"01:00:00";22.37;43.16
"2020-10-08";"01:05:00";22.45;43.12
"2020-10-08";"01:10:00";22.80;42.46
"2020-10-08";"01:15:00";23.07;41.80
"2020-10-08";"01:20:00";23.28;41.35
"2020-10-08";"01:25:00";23.35;41.04
"2020-10-08";"01:30:00";23.02;41.65
"2020-10-08";"01:35:00";22.75;42.24
"2020-10-08";"01:40:00";22.61;42.59
"2020-10-08";"01:45:00";22.44;42.97
"2020-10-08";"01:50:00";22.36;43.18
"2020-10-08";"01:55:00";22.55;42.89
"2020-10-08";"02:00:00";22.89;42.24
"2020-10-08";"02:05:00";23.13;41.66
"2020-10-08";"02:10:00";23.35;41.13
"2020-10-08";"02:15:00";23.25;41.18
"2020-10-08";"02:20:00";22.93;41.82
"2020-10-08";"02:25:00";22.75;42.26
"2020-10-08";"02:30:00";22.58;42.66
"2020-10-08";"02:35:00";22.48;42.89
"2020-10-08";"02:40:00";22.47;43.00
"2020-10-08";"02:45:00";22.80;42.38
"2020-10-08";"02:50:00";23.05;41.80
"2020-10-08";"02:55:00";23.29;41.24
"2020-10-08";"03:00:00";23.26;41.11
"2020-10-08";"03:05:00";22.96;41.78
"2020-10-08";"03:10:00";22.70;42.33
"2020-10-08";"03:15:00";22.53;42.72
"2020-10-08";"03:20:00";22.46;42.95
"2020-10-08";"03:25:00";22.36;43.12
"2020-10-08";"03:30:00";22.66;42.64
"2020-10-08";"03:35:00";22.93;42.06
"2020-10-08";"03:40:00";23.16;41.53
"2020-10-08";"03:45:00";23.35;41.02
"2020-10-08";"03:50:00";22.98;41.66
"2020-10-08";"03:55:00";22.75;42.17
"2020-10-08";"04:00:00";22.58;42.62
"2020-10-08";"04:05:00";22.45;42.89
"2020-10-08";"04:10:00";22.38;43.10
"2020-10-08";"04:15:00";22.39;43.15
"2020-10-08";"04:20:00";22.71;42.55
"2020-10-08";"04:25:00";22.97;41.98
